,summary
621,Human umbilical vascular endothelial cells were cultured at 37°c / 5 % co 2 in ebm® - 2 endothelial cell basal medium. medium was changed the day after seeding and every other day thereafter. the huvecs were used up to passage 12. each group contained five biologically independent samples.
622," mechanical loaded ( ml ) group was placed in the rpm for 24 hours and was exposed to a 30 minutes load period of mechanical stress ( hypergravity ) with centrifugal forces of 12 g at the 4, 8 and 23. 5 - hour time points. for the control and mu groups cultured for 48 hours, the serum concentration was increased at 2 % at the 24 hours time point, while growth factor additives were at ¼ normal concentration."
623,G - loading apparatus was used for mechanical hyperloading as already described 56. The mouse model of hind limb suspension was used to simulate mechanical unloading in vivo 57. The research protocol was reviewed and approved by the institutional animal care and use committee ( iacuc ) of the veterans affairs medical center san francisco.
624," quantitative real - time - polymerase chain reaction ribonucleic acid ( rna) was isolated using rneasy mini kit ( qiagen, valencia, ca usa ) according to the manufacturer ' s protocol. after 14 days of hindlimb suspension procedure, the animals were sacrificed, their thoracic aorta dissected, placed in rna later and stored at – 80°c. to the experimental animals but without hind limbs suspension."
625," cells were washed, resuspended in 200 ul of pbs with 2 % fbs and analyzed using a lsr ii flow cytometer ( bd biosciences ) and flowjo software ( tree star ). After 3 washes in pbs, cells were incubated with secondary antibody alexa fuor 488 anti rabbit igg ( h + l ) during 1 hour at room temperature."
626,"24 hours of mu leads to a significant decrease in the expression of adhesion molecules icam - 1, vcam - 1 and e - selectin as well as inflammatory mediators il - 6 and tnf - α ( figure 1a ). this response remained similar after 48 hours of exposure to mu. mechanical loading reverses the changes mediated by mechanical unloading in endothelial cells."
627," mu significantly affected the morphology of huvecs. there was a decrease in the length and width of the cells with mu. There appeared to be disorganization of the f - actin network with clustering of the fibers around the nucleus. addition of l - name during the mu exposure had no effect on caveolin - 1 distribution, which remains perinuclear, however ml seemed to change towards 1 g conditions."
628, simulation of mu by hindlimb suspension led to a significant increase in enos and caveolin - 1 and - 2 expression in mouse aortas. il - 6 also significantly decreased. There was a significant decrease in e - selectin expression. expression of other inflammatory or adhesion molecules did not decrease significantly.
629,"Microgravity alters the cytoskeleton of ecs. it appears that the actin filaments become disorganized and redistributed within the cells, with as a possible consequence an inability to transport molecules to the outside of the cells. Our findings suggest that ecs gene expression and cytoarchitecture are tightly linked to gravitational mechanical forces."
630,2 hours of simulated microgravity in eahy926 ecs lead to actin rearrangements and increase in nitric oxide production. Huvecs in microgravity for 96 hours had disorganization of the actin cytoskeleton and a decrease in the total amount of actin 30.
631,Microgravity had opposite effects on icam - 1 compared to vcam - 1 and e - selectin. mechanical unloading led to an increase in caveolin - 1. and - 2 gene expression. this correlated with an. increase in enos expression and nitrite concentration.
632,Study has important implications for spaceflight. Astronauts suffer from orthostatic intolerance ( oi ) upon returning to a gravity environment. Changes seen would be considered “ anti - inflammatory ” and possibly protective for early atherogenesis. This opens the way to explore new therapies to treat cardiovascular diseases by manipulation of cell phenotype using gravitational forces.
633,"Microgravity and unloading are known to cause osteoclast - mediated bone resorption. We hypothesize that osteocytic osteolysis, and cell cycle arrest during osteogenesis may also contribute to bone loss in space. We exposed 16 - week-old female c57bl / 6j mice to microgravity for 15 - days on the sts - 131 space shuttle mission."
634,"Pelvic and femoral region of the mouse skeleton is an active site of rapid bone loss in microgravity. This study offers new evidence for microgravity - induced osteocytic osteolysis, and cdkn1a / p21 - mediated osteogenic cell cycle arrest. finally the apoptosis inducer trp53 was down - regulated by −1. 54 fold ( p < 0. 01 ), possibly associated with the quiescent survival - promoting function of cdkn 1a /p21. to these cells."
635,"At 1 g, mechanical loading of mammalian tissues is an important factor in maintaining tissue health and promoting normal regenerative growth. During spaceflight, gravity - generated forces are absent and the mechanical stimulation of tissues is greatly diminished. Over long periods of time mechanical unloading in microgravity may continue to affect tissue Regenerative growth and repair, resulting in more widespread degenerative effects."
636,"Microgravity can cause increased and rapid bone resorption by osteoclasts and decreased bone formation by osteoblasts. In skeletally mature animals, this bone formation arrest may translate into an impairment of regenerative mechanisms. Analysis of the early cell cycle arrest signaling pathways in osteogenic bone cells after short - term spaceflight is the most practical current approach to predict the long - term degenerative effects of microgravity."
637,"Recent studies have highlighted the potential role of osteocytes, terminally differentiated osteoblasts embedded within the mineralized matrix, in the bone remodeling process. We hypothesized that decreases in bone formation during spaceflight may be mediated by an inability of cells in osteogenic lineages to proliferate and differentiate normally due to reduced mechanical stimuli. We also hypothesized that reduced mechanostimulation of osteocyte in microgravity may signal the activation of osteocytic osteolysis of lacunar surfaces."
638,"Osteocytic osteolysis is a form of osteoporosis. It is a type of bone cancer. It can be treated with bone grafts or grafts from other parts of the body. For more information, visit osteocyticostigraphy.org."
639,16 - week-old c57bl / 6j mice ( n = 8 ) were subjected to 15 - days of spaceflight on board the space shuttle discovery during the sts - 131 mission. Animals were housed in the nasa animal enclosure module ( aem ) habitats for the duration of the flight and were exposed to normal day / night cycles.
640,"The pelvic ischium and proximal femur were fixed in 4 % paraformaldehyde for 24 h at 4°c, washed twice with pbs, and stored in pbs at 4 °C. The proximal Femur was used for trap staining and immunohistochemical analysis of proteins of interest as described below. Images were acquired at 50 kv and 800 µa with 0. 5 mm aluminum x - ray detector filter, a pixel resolution of 6. 77 µm."
641,"A selected region of 4. 89 mm ( 720 slices ), starting from 5 slices proximal to caudal apex of the obturator foramen through ischial tuberosity ( fig. 1a ), was analyzed using ctan software. as the mouse ischium is a thin bone with similarly sized bridge - like trabeculae connecting two opposing cortical sheets, we were unable to analyse cortical and trabECular bone regions separately. instead we contoured along a perimeter of the cortical bone using a “ shrink - wrap ” custom plug - in of ctan."
642,Hard x - ray transmission microscopy ( txm ) facility at the stanford synchrotron radiation light source ( ssrl ). analysis was performed on similarly oriented transverse sections of cortical bone from mouse ischia near the dorsal - most point of the descending ischial ramus. We used chlorapatite crystals standards and methods previously described.
643,"The right proximal femur was used for tartrate resistance acid phosphatase staining. bone marrow was gently aspirated from the shaft region of the femur so as not to disturb cancellous bone and bone marrow in the femoral head. flushed bone was then demineralized using 20 % edta for 21 days, with solution changes every three days. decalcified bones were dehydrated in a graded ethanol series and embedded in paraffin in preparation for immunohistochemical analysis."
644,"Total rna was isolated from both rnalater - fixed pelvic ilia ( flushed of bone marrow ) from spaceflight and ground control animals. gene expression was analyzed using qiagen pathway - focused mouse qpcr arrays. We examined genes involved in osteogenesis, extracellular matrix, ubiquitination, and the p53, pi3k, nfκb, and map kinase, signaling pathways in bone tissue."
645,"Each array consisted of primer sets for 84 pathway - focused genes of interest, five reference genes ( gusb, hprt1, hsp90ab1, gapdh, and actb ), one genomic dna contamination control, three positive pcr controls and three positive reverse transcription controls on a 96 well plate. one μg of total rna per sample ( n = 6 ) was reverse transcribed to cdna using rt 2 first strand cdna synthesis kit ( sabiosciences, catalog # 330401 ) according to the manufacturer ’ s protocol. gene expression levels from all arrays were analyzed for alterations in expression levels as compared to ground controls. immunohistochemical and"
646,"Primary antibody incubation was conducted in a moist chamber at 4°c overnight. for osteocyte nuclear localization, we used hoechst 33342 staining ( 500 ng / ml in di water for 10 min at room temperature, invitrogen, catalog # h1399 ) on deparaffinized sections of the right - proximal femur prepared as described above. nuclear pyknotic morphology was used to quantify osteocyte apoptosis. sections were mounted in mounting medium and visualized using an olympus bx51 light microscope."
647,"All flight and ground control mice were observed to be in good condition by veterinary examination immediately post - landing. The posture of space - flown mouse tails after landing was vertical, indicating increased vestibular function in this group. flight habitats showed utilization of resources on average of 10 % less food, and 24 % less water than synchronous ground controls. spaceflight causes osteoclast and osteocyte - mediated bone loss."
648,Ischial shape localized to surface of descending ramus of ischium along the posterior margin of the obturator foramen. flight samples exhibited a more open cross - sectional geometry compared to the ground control. flight animals exhibited a higher percentage of slices in the 0. 007 – 0. 128 mm range. ground control samples also exhibited greater thickness ( orange / red ) then the flight samples.
649,"Ground control samples ( f) exhibited greater thickness ( orange / red ) then the flight samples ( g ), indicating a reduction in overall bone thickness in spaceflight samples. in order to study nanoscale aspects of bone loss following spaceflight, we used transmission x - ray microscopy to perform 40 nm resolution nano - computed tomography ( nanoct ) no difference was found in bulk density of cortical."
650,"Flight samples exhibited an enlargement in lacunae of 17 % in cross sectional area. lacunar circularity decreased in spaceflight by 9 %. bulk density analysis showed no statistical difference between flight and ground control animals. to characterize osteoclast bone resorbing activity during spaceflight, we used trap staining on sections of the proximal femur."
651,"We found a 197 % increase in osteoclast numbers in the bone surface of the trabecular region below the femoral head growth plate of flight samples. pyknotic nuclei were occasionally present in tissue surrounding bone, but were non - detectable in osteocytes. these results indicate roles for both osteoclastic and osteocytic bone degradation in microgravity."
652,Osteoclasts. analysis of osteoclastic activity in the trabecular region below the femoral head of the femur. showed an increase in osteoclast numbers in the bone surface of the growth plate of flight samples compared to ground controls. spaceflight induces mmp - mediated extracellular matrix remodeling in bone.
653,"Spaceflight promotes bone extracellular matrix degradation. Overall increase in expression of collagen, tuft1, sparc, and phex may be related to increased bone mineralization following degradation. immunohistochemical analysis localized over - expression of mmp10 to osteocytes in the shaft of the proximal femur in flight samples."
654,"2. 2. 463cdkn1a cyclin - dependent kinase inhibitor 1a ( p21 ) 0. 000003 3. 307 cdkn1b cyclin-dependent kinase inhibitors 1b ( p15) 0. 04005 1. 409 col11a1. collagen, type xi, alpha 1 0. 01885 1. 752 col14a1 collagen,type xiv, alpha1 0.01371 1. 407 col1a2. collagen,. type i, alpha 2 0.02999 1. 642 col2a2 collagen, types i and ii, alpha 3 0. 02194 1. 412 cul"
655,"Osteosarcoma oncogene 0. 04676 −2. 366 gdf10 growth differentiation factor 10 0. 00736 −1. 425 hecw2 hect, c2 and ww domain containing e3 ubiquitin protein ligase 2 0. 00098 2. 246 icam1 intercellular adhesion molecule 1 0. 00001 0. 523 itgal integrin alpha l 0.00263 0. 445 kras v - ki - ras2 kirsten rat sarcoma viral onc gene homolog 0. 01601 0. 774 lama1 laminin, alpha 10. 01 601 0. 699"
656," nf1 neurofibromatosis 1 0. 01834 −1. 445 nfatc4 nuclear factor of activated t - cells, cytoplasmic, calcineurin - dependent 4 0. 00017 0. 980 nfκb1 nuclear. factor of kappa light polypeptide gene enhancer in b - cells 1, p105 0. 04514 0. 271 nfkkbia nuclear factor. of kappaspeptides in b cells inhibitor, alpha 0.00016 2. 027 phex phosphate regulating gene with homologies to endopeptidases on the x chromosome 0.01638"
657,"We found that spaceflight suppresses pro - osteogenic growth and proliferation gene expression in bone to further study the effects of spaceflight in reducing bone formation. We found several genes associated with cell growth and differentiation that were altered, including egr1, myod1, and fgf3 which were down - regulated."
658,"Spaceflight alters mrna expression of genes associated with osteogenic growth and mitogenic signal transduction pathways. expression levels of tumor suppressor gene p53 ( trp / p53 ) were down - regulated 1. 54 fold. expression of mDM2, a negative regulator of p53, was also increased, indicating suppression of the p53 apoptotic pathway. cell cycle arrest related genes fbxo4, fbXo31, btg2, and cdkn2b were also altered in flight samples."
659,"Spaceflight causes overexpression of the cell cycle arrest molecule, p21, independently of p53 activation. We found that osteoblasts along the periosteal surface of the proximal femur were localized to p21. We also observed p21 - positive nuclei in cross - sections and longitudinal sections of muscle fibers adjacent to the femur."
660,"Using a rabbit anti - mouse p21 polyclonal antibody, we found that osteoblasts along the periosteal surface of the proximal femur were p21 - positive in flight samples but not in synchronous ground controls. muscle fibers surrounding the femur contained strongly positive p21 staining nuclei in spaceflight but not ground control samples. No significant staining was found in most sections from both flight and ground controls ’, indicating that p53 was not strongly expressed."
661," alterations in pi3k subunits were noted except a small change in the alpha polypeptide of the catalytic subunit of Pi3k. downstream effectors of these signaling pathways were also altered in response to spaceflight. Analysis of nfκb transcriptional target genes involved in cell adhesion, regulation of apoptosis and growth factors and ligands including traf1, bmp4, egr1, p53, and mmp3 were found to be down - regulated."
662,"Microgravity is known to alter bone homeostasis, causing primarily increased osteoclast - mediated bone resorption, and possibly inhibition of bone formation. here we sought to test the hypothesis that like osteoclastic activity, osteogenic cell cycle arrest and increased osteocytic osteolysis, may also contribute to bone loss in space."
663,"Microgravity induces high levels of osteoclast - mediated bone resorption in our model system. We then sought to determine if osteocytic osteolysis was also activated. osteocytes, are the most abundant cell type in bone and are thought to play a role in spaceflight - induced bone loss. we found no bone density differences between flight and ground samples. flight samples did exhibit lacunar enlargement relative to ground controls, and decreased circularity, and increased canalicular diameter."
664,"The number of trap - positive osteocytes in flight samples was increased compared to ground controls, with no apparent differences in cell death or lacunar emptying. It is currently debated whether osteocytes contribute to bone remodeling and loss during spaceflight. However, our results support a role for microgravity - induced osteocytic osteolysis."
665,"Mmp10 positive in flight samples but not in ground controls, indicating that the up - regulation of mmp10 transcripts may originate in osteocytes. We also hypothesized that bone loss in space may be mediated by intracellular signaling cascades that result in activation of p53 and p21 during osteogenesis."
666,Previous research has found that hindlimb unloading can result in osteocyte apoptosis and bone loss in the lumbar region of the spine. In contrast to these findings we determined that mrna expression levels of p53 in marrow free bone tissue was down - regulated. immunohistochemical analysis showed that p21 in flight samples was strongly localized to osteoblast nuclei on the periosteal surface.
667,"Elevated cdkn1a / p21 levels in spaceflight may explain the observed reduction in osteogenesis and bone growth. in addition to bone, our gene expression results also show accumulation of p21 in muscle ( fig. 6 ) and heart tissue ( a. kumar, e. c. almeida, and r. k globus, unpublished results ). elevated levels of ros can result in increased lipid peroxidation and decreased levels of antioxidants."
668,"We conducted rt - qpcr analysis of growth factor transcripts for genes involved in osteogenesis, bone mineralization, and their regulatory transcription factors. we found message expression reductions in tgf - β2 ; fgf1 and 3 ; bmp4 ; egr1 ; and csf3. we also found decreases in the expression levels of bMP4 message. from extracellular stimuli to the cell cycle machinery."
669,"Myod1, twist1, and egr1 were altered in spaceflight. decreased myod1 expression suggests a decrease in p21 levels associated with cell differentiation. decreased levels of eGr1 leads to decreased formation of the egr 1 / sp1 complex. vitamin d receptor and sox9, two transcription factors involved in osteogenesis, were also differentially expressed in space flight."
670," vdr gene expression is stimulated by ras / raf / map kinase signaling through the ap - 1 site on the vdr promoter. vitamin d has been shown to modulate nfκb activity in multiple cell types, which suggests a role for the vitamin d receptor in regulation of the nfkkb pathway. vdr - null mice have been showed to have decreased iκbα levels due to loss of vdr- p65 interaction affecting nfkb transcriptional activity. rps6kb1, a down - stream effector of the pi3k / akt / mtor pathway, was also down - regulated in spaceflight."
671,Ckn1a / p21 involvement in tissue degeneration during long - term spaceflight. Possible systemic activation of this strong molecular inhibitor of regenerative adult stem cell proliferation. a major concern for tissue regenerative health in long - duration space flight. future studies should address the specific molecular regulatory mechanisms.
672,"Microfabricated assise intended for quantifying h +, ca 2 +, and co 3 2 - ions was constructed. Conductive polymer (cp ) poly ( 3, 4 - ethylenedioxythiophene ) ( pedot ) 7 - 9 in place of silver / silver chloride as the transducer layer. physiological measurements were employed to monitor biological activity of the model system."
673,"The biochip is 10 x 11 mm in dimension and has 9 assises designated as working electrodes ( wes ) and 5 ag / agcl reference electrodes ( res ). each working electrode ( we ) is 240 μm in diameter and is equally spaced at 1. 4 mm from the res. The photosynthetic activity of chlorella vulgaris is monitored in ambient light and dark conditions. and multiplexed analyte sensing capability, making it applicable to many confined monitoring situations."
674," cells operate a signaling network termed unfolded protein response ( upr ) to monitor protein - folding capacity in the endoplasmic reticulum ( er ). ire1 is an er transmembrane sensor that activates upr to maintain er and cellular function. While mammalian ire1 promotes cell survive, it can initiate apoptosis via decay of anti - apoptotic micrornas. convergent and divergent ire1 characteristics between plants and animals underscore its significance in cellular homeostasis."
675,"In most microfluidic devices, drug effects on small animals ( e. g., caenorhabditis elegans ) are quantified by an end - point, dose response curve representing a single parameter. We present a multi - parameter extraction method to characterize modes of paralysis in c. elegans over an extended time period."
676,"Chronic skeletal unloading diminishes hindlimb bone blood flow. during reloading, femoral perfusion was lower in the distal metaphyseal region of 7 - d hu rats. vascular resistance was also higher in all regions of the femur in 14 - dhu rats during loading. decreases in shear stress and circumferential stress occurred in the pna with hu that later returned to control levels."
677,"Human immune responses are weakened in space, with increased vulnerability to opportunistic infections and immune - related conditions. microorganisms can become more virulent in space causing further challenges to health. We found that hypergravity improves resistance to toll - mediated fungal infections except in a known gravitaxis mutant of the yuri gagarin gene."
678," immune dysfunction is a major health - related problem on earth. without normal immune function, many threats to long - term survival in space exist. We have brought advances in understanding the host defense of drosophila to bear on deciphering the immune alterations associated with altered gravity and spaceflight."
679,"Two signaling pathways are the main mediators of the response to bacterial and fungal infections in drosophila. The toll pathway primarily responds to fungal and gram - positive ( lys - type peptidoglycan ( pgn ) ) infections, and the imd pathway responds to gram - negative ( dap - type pgn) infections. The mechanisms of interactions within and between the toll and imd pathways and other systems are not fully understood."
680,Redox homeostasis is critical in regulating the fate and function of multipotent cells in the central nervous system. Low doses ( < 1 gy ) of charged particles caused an acute and persistent oxidative stress. Low dose irradiation was also found to significantly impair novel object recognition in mice 2 and 12 weeks following irradiation.
681," flavonols are plant metabolites that have been implicated as antioxidants. Their antioxidant activity in planta has been debated. The hormone abscisic acid ( aba ) has a central role in regulation of stomatal closure through synthesis of second messengers, which include reactive oxygen species."
682, increases in guard cell flavonols modulating these responses. The study was published in the Journal of Cell Biology and Molecular Biology. The findings were published in a paper that was published online on November 6. The paper was published by the journal of Cell Biology and  Molecular biology.
683,"Following exposure to microgravity, there is a reduced ability of astronauts to augment peripheral vascular resistance, often resulting in orthostatic hypotension. The results indicate that the impaired vasoconstriction following spaceflight occurs through the ryanodine receptor - mediated intracellular ca 2 + release mechanism. such vascular changes in astronauts could compromise the maintenance of arterial pressure during orthostatics."
684,"Tissue for morphologic study is fixed in 3 % glutaraldehyde, while tissues for molecular study are fixed in rna later. The majority of the tissues remained intact, including general morphology and finer details such as root hairs and trichomes. These technologies have wide application to any situation where recovery of biological resources is limited."
685,"Seven c57bl / 6 mice were randomly chosen for exposure to 15 days of microgravity on the sts - 131 mission. upon mission completion, all 15 mice calvariae were imaged on a micro - computed tomography scanner. microgravity exposure caused a statistically significant increase in bv of the space flight ( sf ) group compared to the ground control ( gc ) group."
686,"Alginate overproduction, also known as mucoidy, is negatively regulated by the transmembrane protein muca. muca is degraded via a proteolysis pathway that frees algu from sequestration, activating alginate biosynthesis. We screened a transposon library in the non - mucoid reference strain pao1, and identified a mutant that confersmucoidy through overexpression of a protein encoded by the c haperone - u sher p athway gene cupb5."
687,"Little is known of microbial responses to low pressure ( lp ). We performed transcription microarrays on bacillus subtilis cells grown under normal atmospheric pressure ( kpa ) and a nearly inhibitory lp ( 5 kpa ), equivalent to the pressure found at an altitude of km. Microarray analysis revealed altered levels of 363 transcripts belonging to several global regulons."
688," leptin - deficient ob / ob mice are morbidly obese and exhibit low total bone mass and mild osteopetrosis. femur length, bone mineral content ( bmc ) and bone mineral density, and midshaft femur cortical thickness were lower in ob / Ob mice than in wt mice. cancellous bone volume fraction was higher but indices of bone formation and resorption were lower. reduced bone res orption resulted in pathological retention of calcified cartilage. These findings demonstrate that the skeletal abnormalities caused by leptin deficiency are markedly attenuated in morbidly obesity ob /Ob mice."
689,"Natural variation in organic cation transporter 1 affects root length sensitivity to exogenous cadaverine. cape verde islands ( cvi ) was one of the most resistant accessions tested, whereas landsberg erecta ( l er ) was the most sensitive. oct1 expression was higher in cvi than in l er, and oct1 mutants were more sensitive than wild - type plants."
690," polyamines are organic cations that are prevalent in both prokaryotes and eukaryotes. putrescine, spermidine, and spermine are the most common polyamines in plants. their positive charges allow for interactions with nucleic acids, lipids, and proteins, which affect the activities and stabilities of these molecules."
691,"Less is known about cadaverine compared with the other polyamines. It is synthesized from lysine and therefore not directly derived from the polyamine putrescine, unlike spermidine, spermine, and thermospermine. It increases adventitious root growth in pine trees, lateral root formation in soybeans and root weight in rice."
692,"Cadaverine has profound impacts on overall cellular homeostasis and plant growth under stressful conditions. The underlying mechanisms that explain how cadaverin alters plant growth and development are still unknown. Natural variation in root length sensitivity to exogenous cadavine was examined. Organic cation transporter 1 ( oct1, at1g73220 ) was identified as an important quantitative trait locus ( qtl ) involved in this response."
693,"Seedlings of eight arabidopsis accessions were grown on media containing 0, 100, and 500 μm cadaverine. A decrease in root length between control and increasing cadaversine treatments was observed for all accessions tested. alterations in root waving and skewing and an increase in adventitious and lateral root emergence were also noticed in most accessions. In terms of root length, cvi - 1 and knox - 18 were some of the most resistant accessions to cadavine, whereas l er - 2 was one of the more sensitive."
694,L er roots were only 35 % as long on this concentration of cadaverine as on control medium. This suggests that the reduction in root length is probably due to a combination of reduced cell elongation and division. A qtl on chromosome 1 affects root length responses to cadavine due to the large difference between cvi and l er in root growth responses.
695,"A strong qtl for relative root growth response to cadaverine was identified at the end of chromosome 1 in two independent trials. The l er to cvi breakpoints in these lines were fine - mapped, and the candidate region was narrowed to a 5. 3mb interval. no epistasis was observed between this qtl and other parts of the genome."
696,"Plants were grown at a 30 ° backward tilt for 6 d. root lengths on media containing 0, 100, and 500 μm cadaverine are shown. Asterisk indicates the first concentration on which the root length was significantly different from the length on control medium. error bars indicate ±se, and n = 18 – 34."
697,Over cvi fold change log 2 expression level description l er cvi 260097 _ at at at1g73220 72. 7 down 3. 7 9. 9 organic cation transporter ( oct1) 264100 _ at. at 1g78970 48. 5 down 1. 9 7. 5 lupeol synthase ( lup1) 245215 - at at.1g67830 6. 0 down 5. 9 8. 5 α - fucosidase ( fxg1 ) 245736 - at. 1g73330 5. 1 down 10. 9 13. 3 protease inhibitor ( dr4) 259941 - s
698," oct1 from cvi and l er genomic dna was sequenced. no large insertions or deletions were found, and only one amino acid change was found : residue 431 in the second exon is serine in cvi, alanine in l er. cadaverine treatment did not significantly change oct1 expression in either accession."
699," oct1 - 1 mutant was previously found to carry a single t - dna insertion near the 3 ’ end of the gene. This mutant was also reported to not express any oct1 rna, as determined by rt – pcr using primers aligning on each side of the intron ( lelandais - briere et al., 2007 ). To evaluate a role for oct1 in root length responses to cadaverine, we used a mutant that produces a truncated oct1 transcript."
700," oct1 - 1 produces a truncated oct1 transcript that is highly unlikely to encode a functional protein. rescue line 1 had significantly higher oct1 expression compared with the ws wild type, whereas rescue line 2 had a similar level ofOct1 expression. root tips were marked after 3 d of growth, and the root growth over the following 3 d was measured for each treatment."
701,"Plants were grown for 6 d at a 30 ° backward tilt on media containing various concentrations of polyamines as indicated. root tips were marked after 3 d of growth, and the root growth over the following 3 d was measured for each treatment. no significant root length differences were observed for any treatment other than cadaverine ( p < 0. 05, student ’ s t - test ). the ws wild type and oct1 - 1 had similar root lengths on. media containing the polyamines putrescine, spermidine, and spermine."
702,Transgenic lines were introduced into oct1 - 1 mutants and their relative root lengths were measured. a range of cadaverine resistance levels that did not correlate with the accession source of the transgene was found. genes other than oct1 probably also contribute to the cadavine response.
703," oct1 expression was measured in two other accessions, one resistant to cadaverine ( knox - 18 ) and one sensitive to it ( sq - 8) Both lines had higher oct1. expression than l er even though only knox. - 18 was more resistant to. l er root length is highly sensitive to cADAverine, whereas columbia root. length is less sensitive. ectopic copies of oct1 derived from. cvi or l er were also introduced into Columbia and l er wild - type plants."
704," arabidopsis roots exhibited varying responses to exogenously applied cadaverine depending on the accession. by comparing phenotypes and gene expression in natural accessions, a mutant, and transgenic lines, oct1 was identified as a key gene involved in this response. restoring oct1 expression in the mutant background resulted in a positive correlation betweenOct1 expression levels and cADAverine resistance."
705,Cadaverine affects arabidopsis root morphology and there is natural variation in this response due in part to varying expression levels of oct1. future experiments will be aimed at clarifying the mechanism by which this occurs. this work has potential implications for better understanding how polyamines contribute to development and mediate stress responses.
706, annexin 1 ( atann1 ) was one of those up - regulated rapidly after heat - shock treatment. Atann1 is important in regulating the heat - induced increase in [ ca 2 + ] cyt and in the response of arabidopsis seedlings to heat stress.
707, xyloglucan is a polysaccharide that has important roles in the formation and function of the walls that surround growing land plant cells. depleting galactose from the cell wall poly Saccharide xylglucan leads to a disruption of diverse cellular and physiological processes involved in normal plant growth.
708,The study shows that altering xyloglucan side chain structure disturbs diverse cellular and physiological processes. galactosylation in normal xylglucan function and demonstrates that altering this structure disrupts diverse cellular processes. The study was published in the Journal of the American Chemical Society.
709,"Bone health and cardiovascular function are compromised in individuals with type 2 diabetes mellitus ( t2DM ) The purpose of the present study was to determine whether skeletal vascular control mechanisms are altered during the progression of t2dm in the zucker diabetic fatty ( zdf ) rat. responses of the principal nutrient artery ( pna ) of the femur from obese zdf rats with prediabetes, short - term diabetes, and long -term diabetes were determined."
710,"Oocytes of the african clawed frog ( xenopus laevis ) comprise one of the most widely used membrane protein expression systems. While frequently used for studies of transporters and ion channels, the application of this system to the study of mechanosensitive ion channels has been overlooked. Recent advances have illustrated the advantages of the oocyte system for studying plant and bacterial mechanossensitive channels."
711," exposure to ionizing radiation can cause rapid mineral loss and increase bone - resorbing osteoclasts within metabolically active, cancellous bone tissue leading to structural deficits. We determined the influence of total body irradiation on expression of select cytokines known both to stimulate osteoclastogenesis and contribute to inflammatory bone disease."
712,Total body irradiation ( gamma or heavy - ion ) caused temporal elevations in the concentrations of specific genes expressed within marrow and mineralized tissue related to bone resorption. This is likely to account for rapid and progressive deterioration of cancellous microarchitecture following exposure to ionizing radiation.
713,"Astronauts are exposed to a complex mixture of ionizing radiation, including low - linear energy transfer ( let ) gamma rays and protons, as well as more damaging high - let radiation. simulated space radiation at these doses causes a rapid net decline in cancellous bone volume to total volume. The bone loss is associated with increased osteoclast numbers and resorbing surfaces of osteoclasts lining trabeculae."
714," radiation exposure transiently and markedly increases the numbers of osteoclasts and the extent of cancellous surfaces. within 3 days of exposure to radiation, the net bone formation rate to bone surface ( bfr / bs ) is unaffected. radiation - induced changes in bone formation are more likely to contribute to later remodeling deficits rather than acute bone loss."
715," radiation exposure induces expression of pro - osteoclastogenic, pro - inflammatory, and antioxidant genes. These changes are likely to contribute to later cancellous bone loss. These molecular changes precede ( < 3 days ) the manifestation of bone loss ( 3 – 7 days ) following iron irradiation at a dose relevant to fractionated radiotherapy or space missions."
716,"Mice were irradiated with 56 fe ions ( 600 mev ) or were sham irradiated ( 0 gy controls ) Then 7 days later bones were harvested and cancellous microarchitecture in the proximal tibia quantified ex vivo using 3d microcomputed tomography. Compared with sham controls, irradiation with 2 gy reduced bv / tv by 16 %, tb. n by 15 %, and showed a trend of increased tB. sp by 11%. This is consistent with previous reports."
717,"Iron irradiation increased expression of the rankl gene by 9. 2 - fold compared with sham - irradiated controls ( fig. 2 ). at this time point, transcripts of opg and mcp1 were not detected in the marrow ( data not shown ). radiation exposure did not alter tnf expression."
718,"Mrna expression was measured in bone marrow at 4 h or 1, 3, or 7 days after low - let gamma irradiation and in sham - irradiated controls. within 4 h, 2 gy gamma irradiated bone marrow elevated rankl in marrow by 2. 6 - fold over the sham. gene expression of opg was undetectable regardless of treatment ( data not shown ). subsequently, the expression of many genes of interest ( rankl, csf1, nfatc1, tnf, mcp1, and il6) transiently increased within 1 day and subsequently declined toward sham levels."
719,"Gamma irradiation increased gene expression in femoral and ti tissue. Pro - inflammatory genes tnf, mcp1, and il6 increased by 1. 7 - fold, 11. 9 - fold and 1. 6 - fold. Levels of nfe2l2 expression were strongly and positively correlated with the osteoclast - related genes nfatc1 ( p < 0. 05, r = 0. 89 ) and csf1. These data suggest that bone - embedded and / or lining cells contribute to osteoc last stimulation."
720,"Gamma irradiation increased gene expression in femoral and tibial tissue ( sans marrow ) by day 3. circulating levels of osteoclast - specific tracp 5b were measured at 1, 3, and 7 days after gamma irradiation and in sham controls. thus, circulating tracP 5b levels showed a similar time course, although lower in magnitude compared with skeletal gene expression for rankl and other pro-osteoclastogenic cytokines."
721," radiation - induced changes in cytokine expression were temporally related to changes in several indices of bone resorption, including gene expression ( ctk, acp5, nfatc1 ) and a serum biomarker ( tracp 5b levels) marrow expression of the global antioxidant transcription factor, nfe2l2, showed high correlation with the expression levels of several osteoclast - related genes."
